Zaman,Tip,Yas Grubu
2026-08-06 09:37:51,Giris,Bilinmiyor
2026-08-06 09:37:52,Cikis,Bilinmiyor
2026-08-06 09:37:55,Giris,Bilinmiyor
2026-08-06 09:37:55,Cikis,Bilinmiyor
2026-08-06 09:37:56,Giris,Bilinmiyor
2026-08-06 09:37:57,Cikis,Bilinmiyor
2026-08-06 09:38:23,Giris,Bilinmiyor
2026-08-06 09:38:37,Cikis,Bilinmiyor
2026-08-06 09:40:18,Giris,Bilinmiyor
2026-08-06 09:40:26,Cikis,Bilinmiyor
2026-08-06 09:40:30,Giris,Bilinmiyor
2026-08-06 09:40:31,Cikis,Bilinmiyor
2026-08-06 09:40:32,Giris,Bilinmiyor
2026-08-06 09:40:33,Cikis,Bilinmiyor
2026-08-06 09:40:34,Giris,Bilinmiyor
2026-08-06 09:40:35,Cikis,Bilinmiyor
2026-08-06 09:40:36,Giris,Bilinmiyor
2026-08-06 09:40:37,Cikis,Bilinmiyor
2026-08-06 09:40:38,Giris,Bilinmiyor
2026-08-06 09:40:39,Cikis,Bilinmiyor
2026-08-06 09:40:40,Giris,Bilinmiyor
2026-08-06 09:40:41,Cikis,Bilinmiyor
2026-08-06 09:40:42,Giris,Bilinmiyor
2026-08-06 09:40:43,Cikis,Bilinmiyor
2026-08-06 09:40:44,Giris,Bilinmiyor
2026-08-06 09:40:45,Cikis,Bilinmiyor
2026-08-06 09:40:46,Giris,Bilinmiyor
2026-08-06 09:40:47,Cikis,Bilinmiyor
2026-08-06 09:40:49,Giris,Bilinmiyor
2026-08-06 09:40:50,Cikis,Bilinmiyor
2026-08-06 09:41:06,Giris,Bilinmiyor
2026-08-06 09:41:06,Cikis,Bilinmiyor
2026-08-06 09:41:10,Giris,Bilinmiyor
2026-08-06 09:41:10,Cikis,Bilinmiyor
2026-08-06 09:41:11,Giris,Bilinmiyor
2026-08-06 09:41:12,Cikis,Bilinmiyor
2026-08-06 09:41:12,Giris,Bilinmiyor
2026-08-06 09:41:12,Cikis,Bilinmiyor
2026-08-06 09:41:12,Giris,Bilinmiyor
2026-08-06 09:41:13,Cikis,Bilinmiyor
2026-08-06 09:41:13,Giris,Bilinmiyor
2026-08-06 09:41:13,Cikis,Bilinmiyor
2026-08-06 09:41:15,Giris,Bilinmiyor
2026-08-06 09:41:15,Cikis,Bilinmiyor
2026-08-06 09:41:20,Giris,Bilinmiyor
2026-08-06 09:41:23,Cikis,Bilinmiyor

ÖZET
Toplam Giris,23
Toplam Cikis,23
Cocuk - Giris,0
Cocuk - Cikis,0
Genc - Giris,0
Genc - Cikis,0
Yetiskin - Giris,0
Yetiskin - Cikis,0
Yasli - Giris,0
Yasli - Cikis,0
Bilinmiyor - Giris,23
Bilinmiyor - Cikis,23
